type,value
Active,0.1818
Active,0.2289
Active,0.2583
Active,0.2632
Active,0.2667
Active,0.125
Active,0.1429
Active,0.1938
Active,0.2
Active,0.2
Active,0.2041
Active,0.117
Active,0.1463
Active,0.1837
Active,0.2222
Active,0.2391
Active,0.2778
Active,0.2784
Active,0.3235
Passive,0.1073
Passive,0.1304
Passive,0.1337
Passive,0.1559
Passive,0.1605
Passive,0.1624
Passive,0.164
Passive,0.1699
Passive,0.1996
Passive,0.2339
Passive,0.2566
Passive,0.2765
Passive,0.1256
Passive,0.1111
Passive,0.1645
Passive,0.1692
Passive,0.1711
Passive,0.1772
Passive,0.1777
Passive,0.1819
Passive,0.1829
Passive,0.194
Passive,0.2228
Passive,0.2349
Passive,0.1316
Passive,0.1633
Passive,0.1279
Passive,0.1429
Passive,0.1587
Passive,0.1678
Passive,0.1688
Passive,0.1892
Passive,0.2184
Passive,0.2622
Passive,0.3563
