title,abstract,organization,investigators,grant_org,grant_money,source,total_participants,male_participants,female_participants,pct_male,pct_female,grant_date,x_axis,y_axis
Phenomenology and Classification of Schizophrenia (Iowa Longitudinal Study),"This study is currently following first-episode patients, some of whom have been followed for as long as 15 years. The study emphasizes understanding the phenomenology of schizophrenia by examining the lifetime trajectory of the illness and its long-term outcome. Since the disorder is characterized by a prolonged lifetime course, longitudinal study of a large group of informative patients is one of the most powerful strategies for examining measures that will illuminate its mechanisms or refine the ... more",University of Iowa,Nancy Andreasen,University Of Iowa,5617677,Lab,282,177,105,0.627659574,0.372340426,7/1/95,col_01,row_01
Couples: Interpersonal Functioning and Emotion in Borderline Personality Disorder,"This collection contains data from several personality studies conducted 1990-2017. The studies included are: Studies: 1. Validity in the Diagnosis of Personality Disorders (""Validity"") 2. Screening for Personality Disorders (""Screening"") 3. Interpersonal Functioning in Borderline Personality (""Interpersonal Functioning"") 4. Interpersonal Functioning and Emotion in Borderline Personality (""Emotion and Interpersonal Functioning"") 5. Interpersonal Functioning and Emotion in Borderline Personality ... more",University of Pittsburgh,Paul Pilkonis,University Of Pittsburgh At Pittsburgh,1380450,Lab,1170,318,852,0.271794872,0.728205128,4/10/98,col_01,row_02
"Genotypes of Swedish subjects used in ""Most genetic risk for autism resides with common variation"" study","Genotypes of Swedish subjects used in ""Most genetic risk for autism resides with common variation"" study",Icahn School of Medicine at Mount Sinai,"Joseph D. Buxbaum, Trent Gaugler, Lambertus Klei, Stephan J. Sanders, Corneliu A. Bodea, Arthur P. Goldberg, Ann B. Lee, Yudi Pawitan, Stephan Ripke, Sven Sandin, Pamela Sklar, Oscar Svantesson, Abraham Reichenberg, Christina M. Hultman, Bernie Devlin, Kathryn Roeder",University Of Pittsburgh At Pittsburgh,1117457,Lab,636,430,206,0.676100629,0.323899371,7/1/98,col_01,row_03
Collaborative Programs of Excellence in Autism (CPEA),"The CPEAs link 129 scientists from 23 universities in the United States, Canada, Britain, and five other countries, and more than 2,000 families of people with autism. The clinical data associated with the CPEAs are contained here.",Boston University,"Dawson, Geraldine; Loveland, Katherine; McMahon, William; Minshew, Nancy; Rodier, Patricia; Rogers, Sally; Sigman,Marian; Tager-Flusberg, Helen; Volkmar, Fred",University Of Rochester,4520600,Lab,5372,3843,1529,0.715376024,0.284623976,8/1/98,col_01,row_04
Coordinated Anxiety Learning and Management (CALM),"The goal of this research project entitled CALM: Coordinated Anxiety Learning and Management is to test an approach to assist PCPs deliver more effective treatment to persons with anxiety disorders. We have developed a unified approach to detecting and treating a range of commonly occurring anxiety disorders (specifically panic disorder, generalized anxiety disorder, social phobia, and posttraumatic stress disorder) that is likely to be feasible and effective in primary care settings. The project ... more",,Peter Roy-Byrne,University Of Washington,1269672,Lab,1004,290,714,0.288844622,0.711155378,7/1/99,col_01,row_05
DCTRS Neurocognitive Enhancement Therapy with Vocational Services in Schizophrenia: Work Outcomes at Two Year Follow-Up,"Neurocognitive enhancement therapy (NET) is a remediation program for the persistent and function-limiting cognitive impairments of schizophrenia. In a previous study in veterans, NET improved work therapy outcomes as well as executive function and working memory. The present study aimed to determine whether NET could enhance functional outcomes among schizophrenia and schizoaffective patients in a community mental health center receiving community-based vocational services. Method: Patients (N = ... more",No Affiliation Provided,Morris D. Bell,Yale University,2069758,Lab,77,44,33,0.571428571,0.428571429,5/15/00,col_01,row_06
Treatment of SSRI-Resistant Depression in Adolescents (TORDIA),"In this seven-year, multisite study, we propose to compare four strategies for the treatment of SSRI-resistant adolescent major depressive disorder (MDD) and/or Dysthymic Disorder. Up to four hundred adolescents, aged 12-18, who continue to be depressed despite an adequate trial with any of the commonly used SSRIs for which there is some evidence of efficacy (i.e., citalopram, escitalopram, fluoxetine, fluvoxamine, or sertraline) will be randomly assigned to one of four conditions to be delivered ... more",,David A. Brent,University Of Pittsburgh At Pittsburgh,2328823,Lab,429,130,299,0.303030303,0.696969697,9/22/00,col_01,row_07
Treatment of Attention Deficit Hyperactivity Disorder in Preschool-Age Children (PATS),"This research focuses on the treatment of Attention Deficit Hyperactivity Disorder ADHD in very young children. The medication being used is methylphenidate Ritalin it is being studied to determine its safety and how well it works to treat ADHD in preschool-age children 3-5.5 year olds. The study includes treatment with different doses of methylphenidate and placebo all children will receive active medication during the study. Prior to treatment, each child will receive a thorough psychiatric evaluation ... more",,"Laurence Greenhill, James Swanson, Timothy Wigal, C. Keith Conners, Howard Abikoff, James McCracken, Mark Riddle",Johns Hopkins University,946775,Lab,604,456,148,0.754966887,0.245033113,9/22/00,col_01,row_08
Treatment of Early Onset Schizophrenia Spectrum Disorders (TEOSS),"This is a multisite research project conducted in collaboration with NIMH undera U01 grant. It is being conducted jointly at the University of Washington (UW), Seattle,WA, University of North Carolina (UNC), Chapel Hill, NC, Harvard Medical School (HU),Boston, MA and Case Western Reserve University (CWRU), Cleveland, Ohio. UNC serves as the coordinating center and is primarily responsible for preparation of blinded medication supplies, randomization and data management. The study will rigorously ... more",,Linmarie Sikich,Seattle Childrens Hospital,1314268,Lab,119,78,41,0.655462185,0.344537815,9/19/01,col_01,row_09
Longitudinal measurements of sleep EEG in adolescence,Adolescence is now recognized as a period of major brain reorganization as well as rapid endocrine and physical development. Among the most prominent brain changes is a huge decline in the delta (<4 Hz) EEG of NREM sleep. Our ongoing study uses spectral and period-amplitude analyses to examine sleep and EEG longitudinally in semiannual 4-night recordings in two cohorts: C9 (N=30) ages 9-13 and C12 (N=38) ages 12-16. Data from the first two years yielded answers to important questions but raised new ... more,"University of California, Davis",Irwin Feinberg,University Of California At Davis,2219837,Lab,99,52,47,0.525252525,0.474747475,4/17/02,col_01,row_10
Treatment of Adolescent Suicide Attempters (TASA),Suicide is the third leading cause of death in adolescents and is a major public health problem. Depression is the most common diagnosis for adolescent suicide attempts. Little is known about what treatment is best for these adolescents since they are usually excluded from participation in research studies. The purpose of this study is to compare the effects of three types of treatments for depressed teenagers who have attempted suicide. Participants in this study will be randomly assigned to receive ... more,,"Laurence Greenhill, Karen Wells, Oscar Bukstein, Graham Emslie, John Walkup",Ut Southwestern Medical Center,2180872,Lab,124,28,96,0.225806452,0.774193548,8/12/02,col_01,row_11
Child/Adolescent Anxiety Multimodal Treatment Study (CAMS),"Anxiety disorders are among the most common conditions affecting children and adolescents. These disorders impair school, social, and family functioning. When left untreated, they also put children at risk for major depression and substance abuse in late adolescence and adulthood. Effective treatments that alleviate symptoms and prevent long-term morbidity and mortality associated with childhood-onset anxiety disorders are needed.During Phase I of this two-phase study, participants are randomly assigned ... more",,John T. Walkup,University Of California Los Angeles,1515786,Lab,488,246,242,0.504098361,0.495901639,9/1/02,col_01,row_12
Study of Pharmacotherapy of Psychotic Depression (STOP-PD),"Psychotic depression (PD) is a severe disorder that is present in 20% of mixed-age inpatients and in more than 40% of elderly inpatients hospitalized for the treatment of major depression. Acutely, PD is associated with a greater level of depression severity, functional impairment, and resistance to antidepressant treatment than nonpsychotic depression. Longitudinally, PD is associated with a greater likelihood of recurrence, a shorter symptom-free interval, greater disability, and an increased long-term ... more",,Barnett Meyers,University Of Pittsburgh At Pittsburgh,1479188,Lab,259,93,166,0.359073359,0.640926641,9/6/02,col_01,row_13
RUPP PI PDD: Drug and Behavioral Therapy for Children With Pervasive Developmental Disorders,This 24-week study will compare the safety and effectiveness of medication treatment alone (risperidone or aripiprazole) to medication treatment in combination with a parent management training program.,,Michael Aman,Indiana Univ-Purdue Univ At Indianapolis,2724660,Lab,124,105,19,0.846774194,0.153225806,9/15/02,col_01,row_14
Treatment of Early Age Mania (TEAM),"Treatment of Early Age Mania (TEAM) was a six year comparative effectiveness study of risperidone, lithium and valproate conducted from 2003-2008 in children aged 6.0-15.11. Subjects were entered into a controlled, randomized, no patient choice, three-strata adaptive strategy trial if they were 6.0-15.11 years old, fit full DSM-IV bipolar I disorder (mixed or manic phase) and had a Children's Global Assessment Scale (CGAS) score less than or equal to 60 (definite clinical impairment). Assignment ... more",,Barbara Geller,Johns Hopkins University,988960,Lab,379,204,175,0.538258575,0.461741425,9/21/02,col_01,row_15
Research Evaluating the Value of Augmenting Medication with Psychotherapy (REVAMP),Chronic depression affects approximately 5% of adults in the United States and is associated with significant functional impairment and high health care utilization. The combination of drug treatment and psychotherapy may be most effective in treating depression. This study will determine the effects of adjunctive psychotherapy in depressed patients who have failed to respond or have responded only partially to an initial trial medication.Participants receive an initial trial of antidepressant medication ... more,,James P. McCullough,Weill Medical Coll Of Cornell Univ,1602564,Lab,1131,496,635,0.438549956,0.561450044,9/24/02,col_01,row_16
DCTRS Attention shaping: a reward-based learning method to enhance skills training outcomes in schizophrenia,"Disturbances in sustained attention commonly interfere with the ability of persons with schizophrenia to benefit from evidence-based psychosocial treatments. Cognitive remediation interventions have thus far demonstrated minimal effects on attention, as have medications. There is thus a gap between the existence of effective psychosocial treatments and patients' ability to effectively engage in and benefit from them. We report on the results of a multisite study of attention shaping (AS), a behavioral ... more",University of Rochester Medical Center,Steven M. Silverstein,University Of Illinois At Chicago,530436,Lab,83,50,33,0.602409639,0.397590361,2/14/03,col_01,row_17
Studies to Advance Autism Research and Treatment (STAART).,"The STAART Network is comprised of eight centers across the country. Most of these centers are evaluating and treating patients, as well as enrolling them into clinical trials.",Icahn School of Medicine at Mount Sinai,"Aylward, Elizabeth; Buxbaum, Joseph; Dawson, Geraldine; Hollander, Eric; Landa, Rebecca; Rodier, Patricia; Sigman, Marian; Tager-Flusberg, Helen",Icahn School Of Medicine At Mount Sinai,7729134,Lab,2007,1531,476,0.762830095,0.237169905,5/13/03,col_01,row_18
