id,listing,title,link,abstract,creation_date,organization,grant_number,grant_org,grant_start,grant_end,grant_money,investigators,total_participants,male_participants,female_participants,source,creation_date_parsed,grant_start_parsed,grant_end_parsed,pct_male,pct_female,year,month,day,column,row
0,193,Phenomenology and Classification of Schizophrenia (Iowa Longitudinal Study),https://nda.nih.gov/edit_collection.html?id=2125,"This study is currently following first-episode patients, some of whom have been followed for as long as 15 years. The study emphasizes understanding the phenomenology of schizophrenia by examining the lifetime trajectory of the illness and its long-term outcome. Since the disorder is characterized by a prolonged lifetime course, longitudinal study of a large group of informative patients is one of the most powerful strategies for examining measures that will illuminate its mechanisms or refine the ... more",10/24/14,University of Iowa,R01MH031593,University Of Iowa,7/1/95,6/30/04,5617677,Nancy Andreasen,282,177,105,lab,10/24/14,7/1/95,6/30/04,0.627659574,0.372340426,1995,7,1,1,1
1,848,Couples: Interpersonal Functioning and Emotion in Borderline Personality Disorder,https://nda.nih.gov/edit_collection.html?id=2935,"This collection contains data from several personality studies conducted 1990-2017. The studies included are: Studies: 1. Validity in the Diagnosis of Personality Disorders (""Validity"") 2. Screening for Personality Disorders (""Screening"") 3. Interpersonal Functioning in Borderline Personality (""Interpersonal Functioning"") 4. Interpersonal Functioning and Emotion in Borderline Personality (""Emotion and Interpersonal Functioning"") 5. Interpersonal Functioning and Emotion in Borderline Personality ... more",6/1/18,University of Pittsburgh,R01MH056888,University Of Pittsburgh At Pittsburgh,4/10/98,8/31/02,1380450,Paul Pilkonis,1170,318,852,lab,6/1/18,4/10/98,8/31/02,0.271794872,0.728205128,1998,4,10,1,2
2,163,"Genotypes of Swedish subjects used in ""Most genetic risk for autism resides with common variation"" study",https://nda.nih.gov/edit_collection.html?id=2092,"Genotypes of Swedish subjects used in ""Most genetic risk for autism resides with common variation"" study",6/29/14,Icahn School of Medicine at Mount Sinai,R01MH057881,University Of Pittsburgh At Pittsburgh,7/1/98,6/30/03,1117457,"Joseph D. Buxbaum, Trent Gaugler, Lambertus Klei, Stephan J. Sanders, Corneliu A. Bodea, Arthur P. Goldberg, Ann B. Lee, Yudi Pawitan, Stephan Ripke, Sven Sandin, Pamela Sklar, Oscar Svantesson, Abraham Reichenberg, Christina M. Hultman, Bernie Devlin, Kathryn Roeder",636,430,206,lab,6/29/14,7/1/98,6/30/03,0.676100629,0.323899371,1998,7,1,1,3
3,37,Collaborative Programs of Excellence in Autism (CPEA),https://nda.nih.gov/edit_collection.html?id=1853,"The CPEAs link 129 scientists from 23 universities in the United States, Canada, Britain, and five other countries, and more than 2,000 families of people with autism. The clinical data associated with the CPEAs are contained here.",10/4/10,Boston University,U19HD035466,University Of Rochester,8/1/98,5/31/03,4520600,"Dawson, Geraldine; Loveland, Katherine; McMahon, William; Minshew, Nancy; Rodier, Patricia; Rogers, Sally; Sigman,Marian; Tager-Flusberg, Helen; Volkmar, Fred",5372,3843,1529,lab,10/4/10,8/1/98,5/31/03,0.715376024,0.284623976,1998,8,1,1,4
4,210,Coordinated Anxiety Learning and Management (CALM),https://nda.nih.gov/edit_collection.html?id=2146,"The goal of this research project entitled CALM: Coordinated Anxiety Learning and Management is to test an approach to assist PCPs deliver more effective treatment to persons with anxiety disorders. We have developed a unified approach to detecting and treating a range of commonly occurring anxiety disorders (specifically panic disorder, generalized anxiety disorder, social phobia, and posttraumatic stress disorder) that is likely to be feasible and effective in primary care settings. The project ... more",9/27/15,,U01MH057858,University Of Washington,7/1/99,6/30/04,1269672,Peter Roy-Byrne,1004,290,714,lab,9/27/15,7/1/99,6/30/04,0.288844622,0.711155378,1999,7,1,1,5
5,156,DCTRS Neurocognitive Enhancement Therapy with Vocational Services in Schizophrenia: Work Outcomes at Two Year Follow-Up,https://nda.nih.gov/edit_collection.html?id=2083,"Neurocognitive enhancement therapy (NET) is a remediation program for the persistent and function-limiting cognitive impairments of schizophrenia. In a previous study in veterans, NET improved work therapy outcomes as well as executive function and working memory. The present study aimed to determine whether NET could enhance functional outcomes among schizophrenia and schizoaffective patients in a community mental health center receiving community-based vocational services. Method: Patients (N = ... more",5/20/14,No Affiliation Provided,R01MH061493,Yale University,5/15/00,2/10/06,2069758,Morris D. Bell,77,44,33,lab,5/20/14,5/15/00,2/10/06,0.571428571,0.428571429,2000,5,15,1,6
6,214,Treatment of SSRI-Resistant Depression in Adolescents (TORDIA),https://nda.nih.gov/edit_collection.html?id=2150,"In this seven-year, multisite study, we propose to compare four strategies for the treatment of SSRI-resistant adolescent major depressive disorder (MDD) and/or Dysthymic Disorder. Up to four hundred adolescents, aged 12-18, who continue to be depressed despite an adequate trial with any of the commonly used SSRIs for which there is some evidence of efficacy (i.e., citalopram, escitalopram, fluoxetine, fluvoxamine, or sertraline) will be randomly assigned to one of four conditions to be delivered ... more",3/31/15,,U01MH061835,University Of Pittsburgh At Pittsburgh,9/22/00,8/31/05,2328823,David A. Brent,429,130,299,lab,3/31/15,9/22/00,8/31/05,0.303030303,0.696969697,2000,9,22,1,7
7,499,Treatment of Attention Deficit Hyperactivity Disorder in Preschool-Age Children (PATS),https://nda.nih.gov/edit_collection.html?id=2551,"This research focuses on the treatment of Attention Deficit Hyperactivity Disorder ADHD in very young children. The medication being used is methylphenidate Ritalin it is being studied to determine its safety and how well it works to treat ADHD in preschool-age children 3-5.5 year olds. The study includes treatment with different doses of methylphenidate and placebo all children will receive active medication during the study. Prior to treatment, each child will receive a thorough psychiatric evaluation ... more",11/9/16,,U01MH060642,Johns Hopkins University,9/22/00,9/13/04,946775,"Laurence Greenhill, James Swanson, Timothy Wigal, C. Keith Conners, Howard Abikoff, James McCracken, Mark Riddle",604,456,148,lab,11/9/16,9/22/00,9/13/04,0.754966887,0.245033113,2000,9,22,1,8
8,207,Treatment of Early Onset Schizophrenia Spectrum Disorders (TEOSS),https://nda.nih.gov/edit_collection.html?id=2143,"This is a multisite research project conducted in collaboration with NIMH undera U01 grant. It is being conducted jointly at the University of Washington (UW), Seattle,WA, University of North Carolina (UNC), Chapel Hill, NC, Harvard Medical School (HU),Boston, MA and Case Western Reserve University (CWRU), Cleveland, Ohio. UNC serves as the coordinating center and is primarily responsible for preparation of blinded medication supplies, randomization and data management. The study will rigorously ... more",9/27/15,,U01MH061464,Seattle Childrens Hospital,9/19/01,8/31/07,1314268,Linmarie Sikich,119,78,41,lab,9/27/15,9/19/01,8/31/07,0.655462185,0.344537815,2001,9,19,1,9
9,112,Longitudinal measurements of sleep EEG in adolescence,https://nda.nih.gov/edit_collection.html?id=2018,Adolescence is now recognized as a period of major brain reorganization as well as rapid endocrine and physical development. Among the most prominent brain changes is a huge decline in the delta (<4 Hz) EEG of NREM sleep. Our ongoing study uses spectral and period-amplitude analyses to examine sleep and EEG longitudinally in semiannual 4-night recordings in two cohorts: C9 (N=30) ages 9-13 and C12 (N=38) ages 12-16. Data from the first two years yielded answers to important questions but raised new ... more,11/6/12,"University of California, Davis",R01MH062521,University Of California At Davis,4/17/02,3/31/07,2219837,Irwin Feinberg,99,52,47,lab,11/6/12,4/17/02,3/31/07,0.525252525,0.474747475,2002,4,17,1,10
10,497,Treatment of Adolescent Suicide Attempters (TASA),https://nda.nih.gov/edit_collection.html?id=2549,Suicide is the third leading cause of death in adolescents and is a major public health problem. Depression is the most common diagnosis for adolescent suicide attempts. Little is known about what treatment is best for these adolescents since they are usually excluded from participation in research studies. The purpose of this study is to compare the effects of three types of treatments for depressed teenagers who have attempted suicide. Participants in this study will be randomly assigned to receive ... more,11/9/16,,U10MH066778,Ut Southwestern Medical Center,8/12/02,7/31/08,2180872,"Laurence Greenhill, Karen Wells, Oscar Bukstein, Graham Emslie, John Walkup",124,28,96,lab,11/9/16,8/12/02,7/31/08,0.225806452,0.774193548,2002,8,12,1,11
